reference_casias,nom,adresse,code_insee,commune,avec_coordonnees,statut,motif,source_url
BNO6101156,imprimerie compedit beauregard sa,ZI beaurega bp 39,61168,LA FERTE MACE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796762
BNO6101164,,à la place du moulin de Finbrune,61168,LA FERTE MACE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796770
BNO6101221,FONDERIE,,61145,DOMFRONT,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796825
BNO6101236,,rue du Pressoir anc. Rue des abattoirs,61145,DOMFRONT,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796838
BNO6101243,FORGES DE SAINT DENIS,"lieu dit ""La Forge""",61382,SAINT DENIS SUR SARTHON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796842
BNO6101246,FONDERIE DE SUIF,,61382,SAINT DENIS SUR SARTHON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796845
BNO6101259,FORGES DE CARROUGES,,61074,CARROUGES,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796854
BNO6101260,FONDERIE DE SUIF,,61074,CARROUGES,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796855
BNO6101270,FORGES DE LA ROCHE MABILE,,61350,LA ROCHE MABILE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796865
BNO6101272,CARRIERE DE ROUPERROUX,le plessis  61320 rouperroux,61357,ROUPERROUX,oui,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796867
BNO6101274,FORGE DE SAINT PATRICE DU DESERT,,61442,SAINT PATRICE DU DESERT,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796868
BNO6101280,MOULIN A TAN,,61341,RADON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796874
BNO6101302,USINE DE QUINCAILLERIE,"lieu dit ""le Sifflet""",61001,ALENCON,oui,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796895
BNO6101328,MOULIN A PAPIER / GROSSE FORGE,"lieu dit ""La Poëlerie""",61230,LONGNY AU PERCHE,oui,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796920
