site_id,reference_ia,reference_casias,nom_casias,adresse_casias,distance_m,score_texte,statut,usage
017dbce1-a16d-41d6-8b60-c327e2bebb9c,IA00061093,BNO6100519,LE HAUT FOURNEAU DE GAILLON,"lieu dit ""les étangs""",826.1,80,recoupement_confirme_apres_revue,recoupement_uniquement
9300e852-d6d6-4398-bfb5-363747bb600b,IA00061053,BNO6100530,TREFILERIE DE BOISTHOREL,"""usine de Boisthorel""",170.9,57,recoupement_confirme_apres_revue,recoupement_uniquement
9300e852-d6d6-4398-bfb5-363747bb600b,IA00061053,BNO6100533,TREFIMETAUX,5 rue jardins des,145.9,27,recoupement_confirme_apres_revue,recoupement_uniquement
31435f32-c5e1-4e87-9162-c08e37be9853,IA00061138,BNO6100541,MOULIN A PAPIER DE RAI,,1505.5,73,recoupement_confirme_apres_revue,recoupement_uniquement
2ab6b065-4bf3-4956-a9c2-656c2f9cfbfa,IA00060896,BNO6100683,USINE DE FOURNEAUX,,,75,recoupement_confirme_apres_revue,recoupement_uniquement
78487171-b58c-4885-9672-52b862ae7cb9,IA00060893,BNO6100684,USINE DE ROCRAY,"lieu dit ""le Rocray""",104.3,55,recoupement_confirme_apres_revue,recoupement_uniquement
d062076d-60d7-4dcb-8670-ab7a6ec20243,IA00060903,BNO6100689,FILATURE,Prés Les,,75,recoupement_confirme_apres_revue,recoupement_uniquement
4f67a91d-1c7f-4a88-a4be-202d38d3f2e3,IA00060906,BNO6100697,USINE DES FONTAINES,lieu dit Les Fontaines,51.3,36,recoupement_confirme_apres_revue,recoupement_uniquement
d634054f-df5a-4153-a18e-b063f7eb51f0,IA00060888,BNO6100704,Maison de l'eau et du Paysage,Chemin SEGREE de,244.7,12,recoupement_confirme_apres_revue,recoupement_uniquement
42d37999-2512-40c9-91eb-a4992a82fd3c,IA00061171,BNO6100720,Ets  DE FONDERIE A FEU CONTINUE USINE DE St MARTIN DE PONTCHARDON,"lieu dit ""Saint Georges""",55.6,32,recoupement_confirme_apres_revue,recoupement_uniquement
14b937a9-57da-4b9e-ad9d-37505f481e07,IA00060899,BNO6100784,USINE A FER OU FORGES ET HAUT FOURNEAU DE RANES,"lieu dit ""Le fourneau""",65.8,38,recoupement_confirme_apres_revue,recoupement_uniquement
a73fcba8-9fc8-4c1f-b37a-6fb818a08192,IA00060911,BNO6100835,,Touche la,,80,recoupement_confirme_apres_revue,recoupement_uniquement
e4c0ab6a-a37f-4cce-ae44-e86e75acef0a,IA00061179,BNO6100856,,20 rue Jules Gevelot FLERS,215.8,60,recoupement_confirme_apres_revue,recoupement_uniquement
d6f2b6b0-c018-4336-a8c0-3f29c4be718f,IA00061181,BNO6100858,USINE DE CAOUTCHOUC MANUFACTURE,84 rue Abbé Lecornu FLERS de l',260.7,45,recoupement_confirme_apres_revue,recoupement_uniquement
4d37018d-8807-40df-ae88-681c2bf85b2e,IA00061183,BNO6100862,,rue Fonderie de la,,89,recoupement_confirme_apres_revue,recoupement_uniquement
4d37018d-8807-40df-ae88-681c2bf85b2e,IA00061183,BNO6100883,,1 rue fonderie de la,,80,recoupement_confirme_apres_revue,recoupement_uniquement
9551fd35-5196-425b-885d-d81b3479651b,IA00061043,BNO6100904,,113 rue chaussée de la,,80,recoupement_confirme_apres_revue,recoupement_uniquement
4d37018d-8807-40df-ae88-681c2bf85b2e,IA00061183,BNO6101000,,rue fonderie de la,,89,recoupement_confirme_apres_revue,recoupement_uniquement
abf570b9-087f-4c30-ad8f-9368b4be7490,IA00061041,BNO6101004,,rue parc du,,75,recoupement_confirme_apres_revue,recoupement_uniquement
c93150ce-a55a-43ec-bb66-5cbd16c2e38f,IA00060984,BNO6101183,,16 rue Pierre Neveu,,80,recoupement_confirme_apres_revue,recoupement_uniquement
7270f809-287c-48d8-9f67-7c5c42019b9c,IA00061087,BNO6101268,ANCIEN FOURNEAU DE LA FORGE DE LA ROCHE,"lieu dit ""Le Fourneau""",214.3,67,recoupement_confirme_apres_revue,recoupement_uniquement
e09b8595-3693-4a8b-862a-29bb51b66ba4,IA00061013,BNO6101306,,"lieu dit ""le moulin neuf""",74.0,43,recoupement_confirme_apres_revue,recoupement_uniquement
628b5841-d265-4efe-8fbf-e0f63652c2a7,IA00060964,BNO6101312,USINE DE FABRICATION DE METAUX,"lieu dit ""Varenne""",291.2,77,recoupement_confirme_apres_revue,recoupement_uniquement
b714582a-6489-4b64-8c34-2eab982876d7,IA00060894,BNO6101317,HAUT FOURNEAU / MOULIN A FARINE,"lieu dit ""Le moulin neuf""",101.4,88,recoupement_confirme_apres_revue,recoupement_uniquement
73df6396-8954-4f34-b31e-ee813226fd1f,IA00061165,BNO6101318,Quincaillerie (anciennement USINE DE CHAUX),16 rue pierre Trévin,71.6,46,recoupement_confirme_apres_revue,recoupement_uniquement
3d806bca-7cd4-4d43-b1f2-a529f7a1f16a,IA00061182,BNO6101320,,34 rue Henri Veniard,108.1,73,recoupement_confirme_apres_revue,recoupement_uniquement
9edcbc72-3d53-4ff8-b68b-e89dfe1f8c37,IA00060949,BNO6101324,FORGE DE LA ROCHE,,508.5,73,recoupement_confirme_apres_revue,recoupement_uniquement
eecbfaa3-35fa-488f-841f-08c92b88d293,IA00061024,BNO6101338,HAUT FOUNEAU / FONDERIE,"lieu dit ""Le Fourneau""",125.9,73,recoupement_confirme_apres_revue,recoupement_uniquement
0e9e1f19-8f5b-4d23-be23-d58413c607fc,IA00060947,BNO6101342,HAUT FOURNEAU DE LA VIE,"lieu dit ""Le Fourneau""",166.9,86,recoupement_confirme_apres_revue,recoupement_uniquement
d3b03277-ed43-4b02-83e5-34d59727d1b1,IA00061158,BNO6101345,AFFINERIE-TRFILERIE-USINE DE PRODUITS CHIMIQUES,rue Forge de la,233.7,89,recoupement_confirme_apres_revue,recoupement_uniquement
9551fd35-5196-425b-885d-d81b3479651b,IA00061043,BNO6101482,SODIFLERS,93 rue Chaussée de la,,73,recoupement_confirme_apres_revue,recoupement_uniquement
065c1945-2613-4616-b8f7-ec83d9e9936e,IA00060970,BNO6101600,,20 rue Saint Germain,,73,recoupement_confirme_apres_revue,recoupement_uniquement
d9cf0757-1f24-4232-9531-d707f43fb30a,IA00060955,BNO6101947,EURL BRADOCCASION,"""Etang de la Morette""",286.8,17,recoupement_confirme_apres_revue,recoupement_uniquement
ecb22379-17a1-4392-9101-2c34cfc7fb3e,IA00061130,BNO6102006,,"""Les fours à chaux""",150.0,40,recoupement_confirme_apres_revue,recoupement_uniquement
3bd3bff0-a53b-4411-a48e-76cad3750223,IA00060895,BNO6102196,Fonderie,6 avenue Industrie (de l'),152.3,86,recoupement_confirme_apres_revue,recoupement_uniquement
b52afb9d-061b-4d92-a4ed-e719df476a6b,IA00060884,BNO6102198,FERLAM ; aniciennement USINE FERODO/VALEO DE LA PETITE SUISSE,lieu dit La Petite Suisse,188.1,42,recoupement_confirme_apres_revue,recoupement_uniquement
