dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00061144,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,1c4f103a-7001-43d0-a693-db8e1bce1f97,usine de petite métallurgie dite usine Eurofac,Rai,61342,,Corru,usine de petite métallurgie,fabrication_metaux,metallurgie_travail_metaux,usine,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.5516896377982423,48.74459266841982,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/988ca903-7120-4ac3-af95-b9efd3b0572c
IA00061145,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,79e0c86c-49e0-45b3-8966-eb9377905a8f,usine de matériel d'équipement industriel dite usine de Rai Tillières,Rai,61342,,,usine de matériel d'équipement industriel,construction_mecanique,mecanique_electrique,usine,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.5632485697756711,48.74793364607918,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/d634cdd8-9193-480e-9c5b-fa0728b42439
IA00061148,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,755069c7-76d2-4736-8f8d-fab4e8206122,usine de bougies,Saint-Hilaire-le-Châtel,61404,,Chêne (Le),usine de bougies,fabrication_bougies,chimie_caoutchouc_plastiques,usine,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.5208232870339701,48.53385705940744,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/2e8b7302-9ed3-4cf1-9454-b8c21a8ef41d
IA00061149,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,5bd0effd-934c-488b-ae7b-32b46c86edf5,"imprimerie, actuellement ateliers dits ateliers Buguet",La Chapelle-Montligeon,61097,,Bourg (le),imprimerie,imprimerie,bois_papier_imprimerie,imprimerie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.6566292552219742,48.48212720818157,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/faff3673-fa29-418e-ba33-6bb918525ef0
IA00061150,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,72b754b5-fb09-4d0a-92de-4f070d52e63c,moulin à farine,Crulai,61140,,Bouvet,moulin à farine,mouture_cereales,agroalimentaire,moulin,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.651459066762368,48.70775212669525,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/30c4bf91-0bbf-4ae7-bc37-0b30ee05d616
IA00061151,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,dce7af0a-b9e3-4d97-b0d6-06ba12c5eec3,"moulin à farine, puis ferme",Mauves-sur-Huisne,61255,,Moulin d'Echoppey (le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,avant_1789 | revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.5873602549141638,48.44877061175828,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/0e922ced-3d12-4529-bced-f9255f58383a
IA00061152,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,e7a9ba18-0e8b-4e25-b19b-0ac0e71002a7,moulin à farine,Perche en Nocé,,,Blanchard (Le) ; Nocé,moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur | revolution_premiere_industrialisation,source_non_controlee,0.6828338765743553,48.36876957078865,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/ea09c374-7b6e-4e36-b5e3-c82c25b2a867
IA00061156,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,04739b06-944c-4a36-bc37-f92049453258,moulin à blé,Vitrai-sous-Laigle,61510,,Moulin de Rolin (Le),moulin à blé,mouture_cereales,agroalimentaire,moulin,,revolution_premiere_industrialisation,source_non_controlee,0.6800665871731687,48.721494366386935,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/20378565-df8d-4dc8-a216-dbe4574ca9b3
IA00061157,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,90a12217-bd2b-4320-bbc5-742a24b97c95,tannerie dite tannerie de la Chippe,Mortagne-au-Perche,61293,,Chippe (La),tannerie,tannerie_cuir,textile_habillement_cuir,tannerie,,industrialisation_rail_vapeur,source_non_controlee,0.5494144114057101,48.5263769558834,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/8643ea37-b366-45b1-89eb-6ccdecdc9cf0
IA00061158,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,d3b03277-ed43-4b02-83e5-34d59727d1b1,"affinerie, tréfilerie, usine de produits chimiques",Randonnai,61343,Forge (rue de la),,affinerie | tréfilerie | usine de produits chimiques,affinage_metaux | trefilage_metaux | fabrication_produits_chimiques,chimie_caoutchouc_plastiques | metallurgie_travail_metaux,affinerie | usine,,avant_1789 | industrialisation_rail_vapeur,source_non_controlee,0.6769023988118971,48.653206679120935,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/06407b40-043b-45d5-a00a-8d0ee9938662
IA00061159,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,7606b628-676b-4b92-b1f6-d9889ada3994,usine à gaz,Saint-Langis-lès-Mortagne,61414,,Gare (La),usine à gaz,production_gaz,energie,usine_gaz,,industrialisation_rail_vapeur,source_non_controlee,0.548728535414287,48.51148561513233,rejete_sites_distincts,https://inventaire-patrimoine.normandie.fr/dossier/ccb41139-674c-4e39-b6b2-3c048c619319
IA00061160,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,48ce59ce-bc18-44b6-b31e-c966cf05a6f9,tréfilerie actuellement pisciculture,Tourouvre,61491,,Forge (La),tréfilerie,trefilage_metaux,metallurgie_travail_metaux,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,0.6809872176583203,48.574248287096765,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/1f8d4f23-4169-4a91-b16c-ae2d24f6ccb2
IA00061162,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,ea590b52-0533-49b4-acd0-247c4946143c,"moulin à farine, minoterie",Le Châtellier,61102,,Moulin Rougé,moulin à farine | minoterie,mouture_cereales | mouture_cereales,agroalimentaire,minoterie | moulin,,industrialisation_rail_vapeur,source_non_controlee,-0.5970835813557988,48.66486678822503,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/6114675f-173d-430a-9b97-1570bc0b9eaf
IA00061163,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,4091c11d-ec3e-4ade-b8da-912018f92fa2,tuilerie,La Coulonche,61124,,Val de Vée (Le),tuilerie,fabrication_tuiles,verre_ceramique_materiaux_construction,tuilerie,,avant_1789 | revolution_premiere_industrialisation,source_non_controlee,-0.4658581707510024,48.63734367295359,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/c4644856-fe7e-4b15-bb98-ef5fe1b27555
IA00061164,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,f27dfdaf-98dd-4ea6-aa98-e7ada49e21b1,"usine de chaux dite Société des Produits Chimiques d'Ecouché, puis Société des Chaux et Engrais d'Ecouché",Écouché,61153,,,usine de chaux,fabrication_chaux_ciment,verre_ceramique_materiaux_construction,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre | mutations_reconversions,source_non_controlee,-0.12325271145498833,48.70807851513454,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/2a4d542a-1357-46f7-ae07-c36b9c0199d1
